featureid	rab.all	rab.win.case	rab.win.control	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
1724fb8cf6131188ba08c9359f0ddabd	2.6489241092173	3.26387251421984	2.11393087691087	-1.37895237402826	13.010033412411	-0.10976916601412	0.422297298480635	0.333122458504623	0.956418618659589	0.342781878487729	0.959720670761698
ef4983e35ca846c2ecf26c989a49286e	3.72320004524429	7.15094167598041	2.94871600944704	-1.3402694689747	12.968765601564	-0.118301131003521	0.435626847742758	0.311016873869517	0.953418436628059	0.352150032838791	0.965263892069707
a94f0fad9cf3279493ae92a303d315cb	3.28537168943369	4.34662694241001	2.45534763051955	-1.32914657587514	12.5611816140413	-0.114546879242172	0.425918110031422	0.281544991359209	0.953231312016186	0.264686540978108	0.954862197504382
6cd9b2ffd4a48ab261ebaa8b023e8dfe	3.77242651385795	6.72382044931629	2.5333845011901	-1.78659272695262	12.9567170070326	-0.151433534748499	0.411566062984913	0.222562949138546	0.946543563070234	0.215310999184807	0.950493745082708
d8f91c1823fb8dcdbac17f8b9c115091	1.74354235457052	1.60987271958534	1.97279260506316	0.362126502187567	11.8754494384002	0.0321940447803307	0.476351351703588	0.736970093509412	0.983502789307886	0.641931600737313	0.982598705436937
b560bf4a6d44dc8d54fba6927edf97b8	1.59671067936911	1.42968745988461	1.80355692570342	0.350560200335161	11.7535623782276	0.0326307654079449	0.479729730031467	0.726341279853997	0.983265095816545	0.598127626495456	0.979672264848478
dc3ca196fe1d9662183f09088df4d3da	2.06802184651326	2.23753191345449	1.91471828691187	-0.119452375507059	9.52758653538629	-0.0136660918077352	0.49176867888967	0.734974417921597	0.983606960980622	0.698777374988023	0.985319969050051
492d706e54e139e14e8673606c572ed3	1.98887062248708	2.24037923483529	1.74014493418744	-0.3048754157567	9.83356373965925	-0.0334494740126349	0.477618243576532	0.763930626182761	0.98573775370929	0.679892636033346	0.985293957970794
cb123efe9b4c4119985831f1022144bd	1.2251193332649	1.21149108378174	1.25389454231343	0.082811530996918	8.40797017748489	0.0098627255630157	0.49493243250775	0.678171202728818	0.979794776694684	0.590045654425986	0.979101511231406
c258f1efd54e7025b729a90e174aedae	1.2807494038278	1.38810390460315	1.16045586723141	-0.180662744131593	8.59599828673567	-0.0203559281464186	0.485859012451595	0.718595366514044	0.982342206351351	0.588155693503059	0.978725383545587
7490977b6132b0bce0eb3be5769b9b7a	0.771095896268962	0.882830700895306	0.625274108688794	-0.348660436450227	5.50176953699884	-0.0500510556798661	0.469594595048134	0.488744624863044	0.965787784343517	0.512649162684353	0.968418853960456
6d80653017e5dd11b9d42051df1d8ec1	0.657187814735991	0.743074606114082	0.580355352092536	-0.18611877502321	5.01221947429767	-0.0300392778735931	0.480793584076241	0.526824111391081	0.967590005012396	0.519713548506995	0.970710549645572
428985f87c964999ee858edc846615f9	1.44471129375551	1.70421640786216	1.16639941305318	-0.831689483829392	8.4975481945727	-0.0916050443907658	0.443834460304817	0.319511950857015	0.952782186008791	0.405123665253398	0.965051889062295
28932d29dbf76d61848b075d34360686	1.00860058800597	0.753523857067959	1.37955163990687	0.96398629445657	6.38815923819701	0.138011496728674	0.425918110031422	0.193773254994722	0.929238184182329	0.337974038457087	0.950225976301748
94c7e5f8a2858b860c248a3c80f178f1	0.849438427133229	0.913590257673642	0.767889125214625	-0.152947553148219	5.987520932729	-0.0211359339285522	0.487125369545456	0.633606682210703	0.975932420893411	0.559094009883141	0.972998382671291
3f1a4a89b121f51f9b922b527340bbe8	1.16274383320325	1.11398400471822	1.19820853540529	0.1191119229443	6.85732436566354	0.0154632226587765	0.489658083733199	0.593384141953745	0.972683881019314	0.582761657338955	0.978051366573591
1f9cb9d9162bf74295a2c6644844848e	0.848866642767359	0.714178686123725	1.02654342897526	0.486807263228638	5.88141024388297	0.0697638986777487	0.457999156390015	0.376163555938312	0.95082827451018	0.435247966789813	0.961227312671986
5f37d7ff2be156a31e878be762d33cb3	1.36402155345036	1.5327232636073	1.19909471124207	-0.568243077899909	8.46160032374854	-0.0644980701814458	0.461148649229536	0.392956054135977	0.960116427552118	0.525150763456297	0.973550621543365
2939e7168dfab630c8e4273f87ec5625	1.56324978510318	2.06290062103907	1.07586261567013	-1.39944804393453	7.2683348502956	-0.184734448555126	0.401435206250466	0.0974853448083763	0.89716999520529	0.185692266164806	0.922441973274466
